						
PRODUTO	Description	PREÇO	CATEGORIA	STOCK INITIAL	STOCK MINIMUM	STOCK MAXIMUM
Hendricksgin	Digestivo	5000	Bebidas	24	10	200
MartellCognac	Digestivo	6000	Bebidas			
BombaySaphire		4500	Bebidas			
JohnnieWalkerDoubleBlack		6000	Álcool			
Cafe		500	Bebidas			
Bulldog		5000	Bebidas			
Bushmills		3500	Bebidas			
CLUBCIGARILLOS		20000	Tabaco			
Agua		500	Bebidas			
Gordon'sgin		2500	Bebidas			
AdegadeBorba		10000	Bebidas			
Gordon'srosegin		2500	Bebidas			
JohnnieWalkerGold		6000	Bebidas			
Beefeater		3500	Bebidas			
Big'1'BlendedScotchWhisky		2500	Bebidas			
RemyMartin		6000	Bebidas			
HennessyCognac		6000	Bebidas			
1920Aguardente		4000	Bebidas			
3AmigosRosé		8000	Bebidas			
Absinto		3000	Bebidas			
AdegadeBorba		8000	Bebidas			
Amarula		3000	Bebidas			
JohnnieWalkerDoubleBlack		6000	Álcool			
MartineBranco/Rosso		2500	Bebidas			
Cafe		1000	Bebidas			
CIGARRILOSPURITOSPANTER		1000	Tabaco			
Amarula		3000	Bebidas			
AguadasPedrasSalgadas		1000	Bebidas			
Antiqua		4000	Bebidas			
Malborobranco		1500	Tabaco			
Cabrizvinho		12000	Bebidas			
LimoncelloSpritz		5000	Bebidas			
Carolans		2500	Bebidas			
Beefeater		3500	Bebidas			
Logan		4000	Bebidas			
Shisha		10000	Tabaco			
AguaTónica		1500	Bebidas			
GreyGooseVodka		4500	Bebidas			
Eristoff		3000	Bebidas			
JackDaniel's		4000	Bebidas			
MarquêsdeBorbaBranco		10000	Bebidas			
CirocVodka		4500	Bebidas			
CaipiroscaCocktail		4000	Bebidas			
Cardhu		5000	Bebidas			
Caipirao		3500	Bebidas			
Caipiblack		3500	Bebidas			
SaladaRussa		4000	Comida			
PastilhasElasticas		1000	Comida			
Brandy		3000	Bebidas			
CachoFrescoBranco		7000	Bebidas			
AlambreMoscateldeSetúbal		3000	Bebidas			
CabrizPequeno		6000	Bebidas			
AmendoaAmarga		2500	Bebidas			
BelugaVodka		4500	Bebidas			
Meiadeleite		500	Bebidas			
BaileysGarrafa		35000	Bebidas			
ArticVodka		4500	Bebidas			
CabeçadeBurro		15000	Bebidas			
SumosNatural		1500	Bebidas			
Batidos		2500	Bebidas			
Gingerale		1500	Bebidas			
BOTTEGA		60000	Bebidas			
GinjacomFruta		2000	Bebidas			
BarRoyal		10000	Bebidas			
JohnniewalkerredLabel		2500	Bebidas			
JackDaniel'sMel		4000	Bebidas			
CuttySark		2500	Bebidas			
CaipirinhaTropical		2500	Bebidas			
Grant		2500	Bebidas			
J&B		3000	Bebidas			
J&B15		5000	Bebidas			
WillianLawsons		3000	Bebidas			
ChivasRegal		4500	Bebidas			
DimpleGold		5500	Bebidas			
GranOldPar		6000	Bebidas			
Frangelico		3000	Bebidas			
Khalua		3500	Bebidas			
LicorBeirao		2500	Bebidas			
Malibu		3000	Bebidas			
Pisangambon		3000	Bebidas			
HavanaClub3		3000	Bebidas			
HavanaClub7		4500	Bebidas			
Safari		3000	Bebidas			
TiaMaria		3000	Bebidas			
Aperolspritz		5000	Bebidas			
BigBoss		5000	Bebidas			
BaileysCreamLiquor		3000	Bebidas			
BigBoss		5000	Bebidas			
BaileysOriginal		3000	Bebidas			
BlackLabel		4000	Bebidas			
BombaySaphire		4000	Bebidas			
VinhoPortoBarros		3000	Bebidas			
Caimosa		2000	Bebidas			
Caipiblack		3500	Bebidas			
VodkaTanquerayRaspberry		1000	Bebidas			
CaipirinhaTropical		2500	Bebidas			
AdegadeBorba(Alentejano)		8000	Bebidas			
Beefeater		3500	Bebidas			
Glenfiddich18		8000	Bebidas			
Bulldog		5000	Bebidas			
Brandy		3000	Bebidas			
Azeitona		1000	Bebidas			
CourvoisierCognac		6000	Bebidas			
AguaPenacova50cl		1500	Bebidas			
Glenfiddich12		5000	Bebidas			
Baileys		3000	Bebidas			
Dictador10Run		5000	Bebidas			
Disaronno		3500	Bebidas			
Bombaydragon		4000	Bebidas			
CaiprinhadeFoli		2500	Bebidas			
Diplomatico		5000	Bebidas			
BARROSPORTO		100	Bebidas			
Fanta		1000	Bebidas			
Salgados		600	Bebidas			
MonteVelho		8000	Bebidas			
CasadeSantar75cl		11000	Bebidas			
Cartuxa		28000	Bebidas			
Defesa		10000	Bebidas			
EA		10000	Bebidas			
Estevadouro		11000	Bebidas			
JPSetubal		7500	Bebidas			
PapaFigos		12000	Bebidas			
PeraDoce		8000	Bebidas			
PorcadaMurca		9500	Bebidas			
QuintadaBacalhoa		28000	Bebidas			
QuintadoCarmo		25000	Bebidas			
Planalto		10000	Bebidas			
Gatao		8000	Bebidas			
MateusRose		10000	Bebidas			
MateusRose		10000	Bebidas			
Faisao		6000	Bebidas			
3amigos		8000	Bebidas			
Woodford		4500	Bebidas			
Tanqueray		4000	Bebidas			
Aperol		3500	Bebidas			
Sheridan		3500	Bebidas			
Cachaca51		3000	Bebidas			
VelhoBarrosocachaca		3000	Bebidas			
AromaKingGMGcigarilloshisha		7000	Tabaco			
Chourico		3000	Comida			
Presunto		3500	Comida			
Tábuadequeijos(diversos)		8000	Comida			
Marquespequeno		5000	Bebidas			
Sandesdefranco		2500	Comida			
EsporaoTinto		20000	Bebidas			
PregonoPao		3000	Comida			
Vodkaabsoluto		3000	Bebidas			
MoelasEstufadas		3000	Comida			
Maazadegoiba		1000	Bebidas			
Sumol		1000	Bebidas			
Cha		1000	Bebidas			
Lancersvinhorose		10000	Bebidas			
TaquilaBranco		1500	Bebidas			
TostaMista		3000	Bebidas			
SandesdeCarneAssada		3000	Comida			
SandesdeQueijo		2000	Comida			
SandesdeFiambre		2000	Comida			
SandesdePresunto		3000	Comida			
SandesdeQueijofrecocomTomateeAlface		3000	Comida			
Camarãoaoalho		4000	Comida			
Chocosaoalho		4000	Comida			
SaladadeAtum		4000	Comida			
SaladadePolvo		4000	Comida			
WhiskyTogouchiJapanese		7000	Bebidas			
TequilaSunrise		4000	Bebidas			
Margaritasimples		3500	Bebidas			
MargaritaFole/Maracuja/Tamarina		4000	Bebidas			
CervejaXL		2500	Bebidas			
Cervejapretagrande		1500	Bebidas			
NikkaDays		5000	Bebidas			
Sumodefole		2000	Bebidas			
Sangria1lt		10000	Bebidas			
Capucchino		1500	Bebidas			
BlackLabel		4000	Bebidas			
Tábuadequeijoseenchidos		10000	Comida			
CRF		5000	Bebidas			
ConstantinoBrandy		3000	Bebidas			
MarquêsdeBorbaBranco		5000	Bebidas			
VodkaAuBlueRaspberry		100	Bebidas			
QueijocomBanana		4000	Comida			
Sprite		1000	Bebidas			
CasalMendes		8000	Bebidas			
Frutosvermelho		1000	Bebidas			
Tábuadequeijoeenchidos		10000	Comida			
BifananoPao		3000	Comida			
Mateusrosepequeno		5000	Bebidas			
Gazela		8000	Bebidas			
1920Aguardente		4000	Bebidas			
Embalagem		500	Comida			
Taquilagold		2000	Bebidas			
Maazatropical		1000	Bebidas			
3AmigosRosé		8000	Bebidas			
AromaKingBARcigarilloshisha		7000	Tabaco			
AdegadeBorba		8000	Bebidas			
AdegadeBorba(Alentejano)		6000	Bebidas			
Pica-Pau		3000	Comida			
AdegadeBorbaToca		1000	Bebidas			
Desperado		2000	Bebidas			
Sopa		1500	Bebidas			
AguaPenacova50cl		1500	Bebidas			
DosedeBatatafrita		1000	Bebidas			
AguadasPedrasSalgadas		1000	Bebidas			
AlambreMoscateldeSetúbal		3000	Bebidas			
Absinto		3000	Bebidas			
AlbergariaGinjawithFruit		100	Bebidas			
Amarula		3000	Bebidas			
Amarula		3000	Bebidas			
AmendoaAmarga		2000	Bebidas			
AmendoaAmarga		2000	Bebidas			
Antiqua		4000	Bebidas			
Antiqua		4000	Bebidas			
